rhea_participant	pred	xrefs	chebi	chebi label	ambigs	ambigs label	ambig_relations	inchitest
(1'S)-averantin	related	UniProt	CHEBI:77899	(S)-averantin(1-)	related+http://purl.obolibrary.org/obo/CHEBI_71534		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
(1'S,5'R)-5'-hydroxyaverantin	exact	UniProt	CHEBI:71536	(1'S,5'R)-5'-hydroxyaverantin				different_inchikeys
(1'S,5'S)-5'-hydroxyaverantin	related	UniProt	CHEBI:77900	(1'S,5'S)-5'-hydroxyaverantin(1-)	label+http://purl.obolibrary.org/obo/CHEBI_71535		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
(1'S,5'S)-averufin	exact	UniProt	CHEBI:71537	(1'S,5'S)-averufin				different_inchikeys
(1-hydroxycyclohexan-1-yl)acetyl-CoA	related	UniProt	CHEBI:57311	(1-hydroxycyclohexyl)acetyl-CoA(4-)				different_inchikeys
(10,11S,12R)-trihydroxy-(5Z,8Z,14Z)-eicosatrienoate	related	UniProt	CHEBI:78099	trioxilin B3(1-)				different_inchikeys
(10,17)-dihydroperoxy-(7Z,11Z,13Z,15E,19Z)-docosapentaenoate	related	UniProt	CHEBI:133950	(7Z,11Z,13Z,15E,19Z)-10,17-bis(hydroperoxy)docosapentaenoate				different_inchikeys
(10,17S)-dihydroperoxy-(4Z,7Z,11Z,13Z,15E)-docosapentaenoate	related	UniProt	CHEBI:133949	(4Z,7Z,11Z,13Z,15E,17S)-10,17-bis(hydroperoxy)docosapentaenoate				different_inchikeys
(10,17S)-dihydroperoxy-(4Z,7Z,11Z,13Z,15E,19Z)-docosahexaenoate	related	SUBMITTER|UniProt	CHEBI:133948	(4Z,7Z,11Z,13Z,15E,17S,19Z)-10,17-bis(hydroperoxy)docosahexaenoate				different_inchikeys
(10E,12Z)-hexadecadienoyl-CoA	related	UniProt	CHEBI:86122	(10E,12Z)-hexadecadienoyl-CoA(4-)	label+http://purl.obolibrary.org/obo/CHEBI_86376		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
(10R)-hydroxy-(11S,12S)-epoxy-(5Z,8Z,14Z)-eicosatrienoate	related	UniProt	CHEBI:75234	(10R)-hydroxy-(11S,12S)-epoxyicosa-(5Z,8Z,14Z)-trienoate				different_inchikeys
(10R)-hydroxy-(8S,9S)-epoxy-(5Z,11Z,14Z)-eicosatrienoate	related	UniProt	CHEBI:75327	(8S,9S)-epoxy-(10R)-hydroxyicosa-(5Z,11Z,14Z)-trienoate				different_inchikeys
(10Z,13Z,16Z,19Z)-docosatetraenoyl-CoA	related	UniProt	CHEBI:74424	(10Z,13Z,16Z,19Z)-docosatetraenoyl-CoA(4-)	label+http://purl.obolibrary.org/obo/CHEBI_74662		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
(10Z,13Z,16Z,19Z,22Z,25Z)-octacosahexaenoyl-CoA	related	UniProt	CHEBI:74312	(10Z,13Z,16Z,19Z,22Z,25Z)-octacosahexaenoyl-CoA(4-)	label+http://purl.obolibrary.org/obo/CHEBI_74590		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
(10Z,15Z)-12-oxophytodienoate	related	UniProt	CHEBI:57411	(15Z)-12-oxophyto-10,15-dienoate				different_inchikeys
(10Z,15Z)-12-oxophytodienoyl-CoA	related	UniProt	CHEBI:138398	(15Z)-12-oxophyto-10,15-dienoyl-CoA(4-)				different_inchikeys
(10aS)-10,10a-dihydrophenazine-1-carboxylate	exact	IUPAC|UniProt	CHEBI:132003	(10aS)-10,10a-dihydrophenazine-1-carboxylate				different_inchikeys
(10bR,4aS)-noroxomaritidine	related	UniProt	CHEBI:133995	(4aS,10bR)-noroxomaritidine(1+)				different_inchikeys
(10bS,4aR)-noroxomaritidine	related	UniProt	CHEBI:133996	(4aR,10bS)-noroxomaritidine(1+)				different_inchikeys
(11E)-octadecenoyl-CoA	related	UniProt	CHEBI:74296	(11E)-octadecenoyl-CoA(4-)	label+http://purl.obolibrary.org/obo/CHEBI_74395		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
(11E)-tetradecenoyl-CoA	related	UniProt	CHEBI:57322	trans-tetradec-11-enoyl-CoA(4-)				different_inchikeys
(11E,13Z)-octadecadienoyl-CoA	related	UniProt	CHEBI:85650	(11E,13Z)-octadecadienoyl-CoA(4-)	label+http://purl.obolibrary.org/obo/CHEBI_85955		http://purl.obolibrary.org/obo/chebi#is_conjugate_acid_of	same_inchikey
(11R)-dihydroartemisinic aldehyde	exact	UniProt	CHEBI:64691	(11R)-dihydroartemisinic aldehyde				different_inchikeys
(11R)-hydroperoxy-(9Z,12Z)-octadecadienoate	related	UniProt	CHEBI:134248	(11R)-11-hydroperoxylinoleate				different_inchikeys
(11R)-hydroperoxy-(9Z,12Z,15Z)-octadecatrienoate	related	UniProt	CHEBI:133989	(9Z,11R,12Z,15Z)-11-hydroperoxyoctadecatrienoate				different_inchikeys
(11R)-hydroxy-(5Z,8Z,12E,14Z)-eicosatetraenoate	related	UniProt	CHEBI:78836	11(R)-HETE(1-)				different_inchikeys
(11R)-hydroxy-(5Z,8Z,12E,14Z,17Z)-eicosapentaenoate	related	SUBMITTER|UniProt	CHEBI:90820	11(R)-HEPE(1-)				different_inchikeys
(11R)-hydroxydodecanoate	related	UniProt	CHEBI:78423	(R)-11-hydroxylaurate(1-)				different_inchikeys
(11R,12R)-dihydroxy-(5Z,8Z,14Z)-eicosatrienoate	related	UniProt	CHEBI:138004	(5Z,8Z,11R,12R,14Z)-11,12-dihydroxyicosatrienoate				different_inchikeys
(11R,12S)-epoxy-(5Z,8Z,14Z)-eicosatrienoate	related	UniProt	CHEBI:131970	(11R,12S)-EET(1-)				different_inchikeys
(11S)-hydroperoxy-(9Z,12Z)-octadecadienoate	related	UniProt	CHEBI:57467	(11S)-11-hydroperoxylinoleate				different_inchikeys
(11S)-hydroperoxy-(9Z,12Z,15Z)-octadecatrienoate	related	UniProt	CHEBI:134110	(9Z,11S,12Z,15Z)-11-hydroperoxyoctadecatrienoate				different_inchikeys
